"Fecha","REGION","CASOS"
"07/03/2020","PIU",0
"08/03/2020","PIU",0
"09/03/2020","PIU",0
"10/03/2020","PIU",0
"11/03/2020","PIU",0
"12/03/2020","PIU",0
"13/03/2020","PIU",0
"14/03/2020","PIU",2
"15/03/2020","PIU",0
"16/03/2020","PIU",0
"17/03/2020","PIU",0
"18/03/2020","PIU",0
"19/03/2020","PIU",0
"20/03/2020","PIU",16
"21/03/2020","PIU",1
"22/03/2020","PIU",0
"23/03/2020","PIU",0
"24/03/2020","PIU",0
"25/03/2020","PIU",1
"26/03/2020","PIU",0
"27/03/2020","PIU",0
"28/03/2020","PIU",1
"29/03/2020","PIU",0
"30/03/2020","PIU",0
"31/03/2020","PIU",5
"01/04/2020","PIU",1
"02/04/2020","PIU",0
"03/04/2020","PIU",0
"04/04/2020","PIU",2
"05/04/2020","PIU",1
"06/04/2020","PIU",5
"07/04/2020","PIU",6
"08/04/2020","PIU",12
"09/04/2020","PIU",15
"10/04/2020","PIU",23
"11/04/2020","PIU",13
"TOTALES","PIU",120
"06/03/2020","LAM",0
"07/03/2020","LAM",0
"08/03/2020","LAM",0
"09/03/2020","LAM",0
"10/03/2020","LAM",0
"11/03/2020","LAM",0
"12/03/2020","LAM",0
"13/03/2020","LAM",0
"14/03/2020","LAM",1
"15/03/2020","LAM",2
"16/03/2020","LAM",3
"17/03/2020","LAM",0
"18/03/2020","LAM",0
"19/03/2020","LAM",0
"20/03/2020","LAM",2
"21/03/2020","LAM",0
"22/03/2020","LAM",0
"23/03/2020","LAM",0
"24/03/2020","LAM",4
"25/03/2020","LAM",0
"26/03/2020","LAM",1
"27/03/2020","LAM",2
"28/03/2020","LAM",7
"29/03/2020","LAM",0
"30/03/2020","LAM",8
"31/03/2020","LAM",4
"01/04/2020","LAM",0
"02/04/2020","LAM",1
"03/04/2020","LAM",23
"04/04/2020","LAM",42
"05/04/2020","LAM",0
"06/04/2020","LAM",8
"07/04/2020","LAM",138
"08/04/2020","LAM",56
"09/04/2020","LAM",0
"10/04/2020","LAM",24
"11/04/2020","LAM",29
"TOTALES","LAM",392
"06/03/2020","CAL",0
"07/03/2020","CAL",0
"08/03/2020","CAL",0
"09/03/2020","CAL",0
"10/03/2020","CAL",0
"11/03/2020","CAL",0
"12/03/2020","CAL",0
"13/03/2020","CAL",0
"14/03/2020","CAL",0
"15/03/2020","CAL",2
"16/03/2020","CAL",0
"17/03/2020","CAL",1
"18/03/2020","CAL",0
"19/03/2020","CAL",0
"20/03/2020","CAL",0
"21/03/2020","CAL",0
"22/03/2020","CAL",1
"23/03/2020","CAL",1
"24/03/2020","CAL",2
"25/03/2020","CAL",2
"26/03/2020","CAL",0
"27/03/2020","CAL",0
"28/03/2020","CAL",5
"29/03/2020","CAL",10
"30/03/2020","CAL",1
"31/03/2020","CAL",12
"01/04/2020","CAL",17
"02/04/2020","CAL",5
"03/04/2020","CAL",5
"04/04/2020","CAL",25
"05/04/2020","CAL",20
"06/04/2020","CAL",52
"07/04/2020","CAL",159
"08/04/2020","CAL",93
"09/04/2020","CAL",52
"10/04/2020","CAL",76
"11/04/2020","CAL",55
"TOTALES","CAL",733
"06/03/2020","LAL",0
"07/03/2020","LAL",0
"08/03/2020","LAL",0
"09/03/2020","LAL",0
"10/03/2020","LAL",0
"11/03/2020","LAL",0
"12/03/2020","LAL",0
"13/03/2020","LAL",0
"14/03/2020","LAL",0
"15/03/2020","LAL",1
"16/03/2020","LAL",0
"17/03/2020","LAL",1
"18/03/2020","LAL",0
"19/03/2020","LAL",0
"20/03/2020","LAL",2
"21/03/2020","LAL",0
"22/03/2020","LAL",0
"23/03/2020","LAL",1
"24/03/2020","LAL",1
"25/03/2020","LAL",3
"26/03/2020","LAL",0
"27/03/2020","LAL",1
"28/03/2020","LAL",2
"29/03/2020","LAL",3
"30/03/2020","LAL",4
"31/03/2020","LAL",13
"01/04/2020","LAL",7
"02/04/2020","LAL",6
"03/04/2020","LAL",5
"04/04/2020","LAL",0
"05/04/2020","LAL",6
"06/04/2020","LAL",2
"07/04/2020","LAL",24
"08/04/2020","LAL",0
"09/04/2020","LAL",19
"10/04/2020","LAL",7
"11/04/2020","LAL",2
"TOTALES","LAL",115
"06/03/2020","ANC",0
"07/03/2020","ANC",0
"08/03/2020","ANC",0
"09/03/2020","ANC",0
"10/03/2020","ANC",0
"11/03/2020","ANC",0
"12/03/2020","ANC",0
"13/03/2020","ANC",0
"14/03/2020","ANC",0
"15/03/2020","ANC",1
"16/03/2020","ANC",0
"17/03/2020","ANC",0
"18/03/2020","ANC",1
"19/03/2020","ANC",2
"20/03/2020","ANC",0
"21/03/2020","ANC",0
"22/03/2020","ANC",0
"23/03/2020","ANC",0
"24/03/2020","ANC",1
"25/03/2020","ANC",1
"26/03/2020","ANC",0
"27/03/2020","ANC",0
"28/03/2020","ANC",0
"29/03/2020","ANC",5
"30/03/2020","ANC",0
"31/03/2020","ANC",4
"01/04/2020","ANC",0
"02/04/2020","ANC",3
"03/04/2020","ANC",0
"04/04/2020","ANC",5
"05/04/2020","ANC",4
"06/04/2020","ANC",9
"07/04/2020","ANC",14
"08/04/2020","ANC",7
"09/04/2020","ANC",10
"10/04/2020","ANC",21
"11/04/2020","ANC",14
"TOTALES","ANC",110
"06/03/2020","LOR",0
"07/03/2020","LOR",0
"08/03/2020","LOR",0
"09/03/2020","LOR",0
"10/03/2020","LOR",0
"11/03/2020","LOR",0
"12/03/2020","LOR",0
"13/03/2020","LOR",0
"14/03/2020","LOR",0
"15/03/2020","LOR",0
"16/03/2020","LOR",1
"17/03/2020","LOR",9
"18/03/2020","LOR",1
"19/03/2020","LOR",1
"20/03/2020","LOR",2
"21/03/2020","LOR",2
"22/03/2020","LOR",0
"23/03/2020","LOR",0
"24/03/2020","LOR",2
"25/03/2020","LOR",0
"26/03/2020","LOR",5
"27/03/2020","LOR",4
"28/03/2020","LOR",25
"29/03/2020","LOR",1
"30/03/2020","LOR",5
"31/03/2020","LOR",4
"01/04/2020","LOR",10
"02/04/2020","LOR",10
"03/04/2020","LOR",24
"04/04/2020","LOR",37
"05/04/2020","LOR",28
"06/04/2020","LOR",35
"07/04/2020","LOR",84
"08/04/2020","LOR",25
"09/04/2020","LOR",0
"10/04/2020","LOR",0
"11/04/2020","LOR",7
"TOTALES","LOR",340
"06/03/2020","SAM",0
"07/03/2020","SAM",0
"08/03/2020","SAM",0
"09/03/2020","SAM",0
"10/03/2020","SAM",0
"11/03/2020","SAM",0
"12/03/2020","SAM",0
"13/03/2020","SAM",0
"14/03/2020","SAM",0
"15/03/2020","SAM",0
"16/03/2020","SAM",0
"17/03/2020","SAM",1
"18/03/2020","SAM",0
"19/03/2020","SAM",0
"20/03/2020","SAM",0
"21/03/2020","SAM",0
"22/03/2020","SAM",0
"23/03/2020","SAM",0
"24/03/2020","SAM",0
"25/03/2020","SAM",0
"26/03/2020","SAM",0
"27/03/2020","SAM",1
"28/03/2020","SAM",2
"29/03/2020","SAM",1
"30/03/2020","SAM",1
"31/03/2020","SAM",0
"01/04/2020","SAM",0
"02/04/2020","SAM",0
"03/04/2020","SAM",2
"04/04/2020","SAM",0
"05/04/2020","SAM",0
"06/04/2020","SAM",0
"07/04/2020","SAM",3
"08/04/2020","SAM",4
"09/04/2020","SAM",3
"10/04/2020","SAM",2
"11/04/2020","SAM",3
"TOTALES","SAM",23
"06/03/2020","MDD",0
"07/03/2020","MDD",0
"08/03/2020","MDD",0
"09/03/2020","MDD",0
"10/03/2020","MDD",0
"11/03/2020","MDD",0
"12/03/2020","MDD",0
"13/03/2020","MDD",0
"14/03/2020","MDD",0
"15/03/2020","MDD",0
"16/03/2020","MDD",0
"17/03/2020","MDD",0
"18/03/2020","MDD",1
"19/03/2020","MDD",0
"20/03/2020","MDD",0
"21/03/2020","MDD",0
"22/03/2020","MDD",0
"23/03/2020","MDD",0
"24/03/2020","MDD",0
"25/03/2020","MDD",0
"26/03/2020","MDD",0
"27/03/2020","MDD",0
"28/03/2020","MDD",0
"29/03/2020","MDD",0
"30/03/2020","MDD",0
"31/03/2020","MDD",0
"01/04/2020","MDD",1
"02/04/2020","MDD",0
"03/04/2020","MDD",0
"04/04/2020","MDD",0
"05/04/2020","MDD",0
"06/04/2020","MDD",0
"07/04/2020","MDD",0
"08/04/2020","MDD",1
"09/04/2020","MDD",0
"10/04/2020","MDD",0
"11/04/2020","MDD",0
"TOTALES","MDD",10
"06/03/2020","JUN",0
"07/03/2020","JUN",0
"08/03/2020","JUN",0
"09/03/2020","JUN",0
"10/03/2020","JUN",0
"11/03/2020","JUN",0
"12/03/2020","JUN",0
"13/03/2020","JUN",0
"14/03/2020","JUN",0
"15/03/2020","JUN",0
"16/03/2020","JUN",0
"17/03/2020","JUN",0
"18/03/2020","JUN",0
"19/03/2020","JUN",3
"20/03/2020","JUN",7
"21/03/2020","JUN",0
"22/03/2020","JUN",0
"23/03/2020","JUN",0
"24/03/2020","JUN",1
"25/03/2020","JUN",0
"26/03/2020","JUN",1
"27/03/2020","JUN",0
"28/03/2020","JUN",1
"29/03/2020","JUN",0
"30/03/2020","JUN",4
"31/03/2020","JUN",0
"01/04/2020","JUN",2
