"","Fecha","REGION","CASOS"
"558","8-MAR","CAJ",0
"559","9-MAR","CAJ",0
"560","10-MAR","CAJ",0
"561","11-MAR","CAJ",0
"562","12-MAR","CAJ",0
"563","13-MAR","CAJ",0
"564","14-MAR","CAJ",0
"565","15-MAR","CAJ",0
"566","16-MAR","CAJ",0
"567","17-MAR","CAJ",0
"568","18-MAR","CAJ",0
"569","19-MAR","CAJ",0
"570","20-MAR","CAJ",0
"571","21-MAR","CAJ",0
"572","22-MAR","CAJ",0
"573","23-MAR","CAJ",0
"574","24-MAR","CAJ",1
"575","25-MAR","CAJ",0
"576","26-MAR","CAJ",0
"577","27-MAR","CAJ",0
"578","28-MAR","CAJ",0
"579","29-MAR","CAJ",0
"580","30-MAR","CAJ",0
"581","31-MAR","CAJ",1
"582","1-ABR","CAJ",1
"583","2-ABR","CAJ",1
"584","3-ABR","CAJ",2
"585","4-ABR","CAJ",0
"586","5 ABRIL","CAJ",0
"587","6-ABR","CAJ",0
"588","7-ABR","CAJ",5
"589","8-ABR","CAJ",0
"590","9-ABR","CAJ",0
"591","10-ABR","CAJ",0
"592","11-ABR","CAJ",0
"593","6-MAR","PAS",0
"594","7-MAR","PAS",0
"595","8-MAR","PAS",0
"596","9-MAR","PAS",0
"597","10-MAR","PAS",0
"598","11-MAR","PAS",0
"599","12-MAR","PAS",0
"600","13-MAR","PAS",0
"601","14-MAR","PAS",0
"602","15-MAR","PAS",0
"603","16-MAR","PAS",0
"604","17-MAR","PAS",0
"605","18-MAR","PAS",0
"606","19-MAR","PAS",0
"607","20-MAR","PAS",0
"608","21-MAR","PAS",0
"609","22-MAR","PAS",0
"610","23-MAR","PAS",0
"611","24-MAR","PAS",0
"612","25-MAR","PAS",0
"613","26-MAR","PAS",1
"614","27-MAR","PAS",0
"615","28-MAR","PAS",0
"616","29-MAR","PAS",0
"617","30-MAR","PAS",0
"618","31-MAR","PAS",0
"619","1-ABR","PAS",0
"620","2-ABR","PAS",0
"621","3-ABR","PAS",1
"622","4-ABR","PAS",1
"623","5 ABRIL","PAS",2
"624","6-ABR","PAS",0
"625","7-ABR","PAS",0
"626","8-ABR","PAS",0
"627","9-ABR","PAS",3
"628","10-ABR","PAS",1
"629","11-ABR","PAS",2
"630","6-MAR","TAC",0
"631","7-MAR","TAC",0
"632","8-MAR","TAC",0
"633","9-MAR","TAC",0
"634","10-MAR","TAC",0
"635","11-MAR","TAC",0
"636","12-MAR","TAC",0
"637","13-MAR","TAC",0
"638","14-MAR","TAC",0
"639","15-MAR","TAC",0
"640","16-MAR","TAC",0
"641","17-MAR","TAC",0
"642","18-MAR","TAC",0
"643","19-MAR","TAC",0
"644","20-MAR","TAC",0
"645","21-MAR","TAC",0
"646","22-MAR","TAC",0
"647","23-MAR","TAC",0
"648","24-MAR","TAC",0
"649","25-MAR","TAC",0
"650","26-MAR","TAC",0
"651","27-MAR","TAC",0
"652","28-MAR","TAC",1
"653","29-MAR","TAC",0
"654","30-MAR","TAC",1
"655","31-MAR","TAC",1
"656","1-ABR","TAC",0
"657","2-ABR","TAC",0
"658","3-ABR","TAC",0
"659","4-ABR","TAC",6
"660","5 ABRIL","TAC",0
"661","6-ABR","TAC",0
"662","7-ABR","TAC",0
"663","8-ABR","TAC",0
"664","9-ABR","TAC",0
"665","10-ABR","TAC",0
"666","11-ABR","TAC",0
"667","6-MAR","AYA",0
"668","7-MAR","AYA",0
"669","8-MAR","AYA",0
"670","9-MAR","AYA",0
"671","10-MAR","AYA",0
"672","11-MAR","AYA",0
"673","12-MAR","AYA",0
"674","13-MAR","AYA",0
"675","14-MAR","AYA",0
