"","FECHA","DIA","MES","ANO","TOTAL_POSITIVOS","TOTAL_PRUEBAS","TOTAL_DESCARTADOS","POSITIVOS_DIA","PRUEBAS_DIA","DESCARTADOS_DIA","RECUPERADOS","FALLECIDOS","HOSPITALIZADOS","HOSPITALIZADOS_UCI","OBSERVACION","FUENTE","ACTUALIZACION"
"34",2020-04-08,"08","04","2020",5256,48465,43209,914,8866,7952,1438,138,600,124,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"35",2020-04-09,"09","04","2020",5897,56681,50784,641,8216,7575,1569,169,687,130,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"36",2020-04-10,"10","04","2020",6848,65712,58864,951,9031,8080,1739,181,788,142,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"37",2020-04-11,"11","04","2020",7519,76506,68987,671,10794,10123,1798,193,815,134,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"38",2020-04-12,"12","04","2020",9784,87116,77332,2265,10610,8345,2642,216,901,143,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"39",2020-04-13,"13","04","2020",10303,102216,91913,519,15100,14581,2869,230,914,132,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"40",2020-04-14,"14","04","2020",11475,109385,97910,1172,7169,5997,3108,254,1113,146,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"41",2020-04-15,"15","04","2020",12491,121468,108977,1016,12083,11067,6120,274,1277,169,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"42",2020-04-16,"16","04","2020",13489,127513,114024,998,6045,5047,6541,300,1219,137,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"43",2020-04-17,"17","04","2020",14420,135895,121475,931,8382,7451,6684,348,1268,117,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"44",2020-04-18,"18","04","2020",15628,143745,128117,1208,7850,6642,6811,400,1349,167,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"45",2020-04-19,"19","04","2020",16325,148011,131686,697,4266,3569,6968,445,1682,385,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"46",2020-04-20,"20","04","2020",17837,155724,137887,1512,7713,6201,6982,484,2419,380,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"47",2020-04-21,"21","04","2020",19250,170400,151150,1413,14676,13263,7027,530,2434,396,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
"48",2020-04-22,"22","04","2020",20914,185238,164324,1664,14838,13174,7422,572,2786,467,"INCLUYE PRUEBAS MOLECULARES + PRUEBAS RAPIDAS","",""
